,fr_loc,user_loc,sci,county,Name,RorD,Votes,PercentageBlue,Percentage
1,53001,53033,21777,Adams,Donald J. Trump / Michael R. Pence,R,3881,33.2014,66.7986
2,53003,53033,19267,Asotin,Donald J. Trump / Michael R. Pence,R,7259,38.8097,61.1903
3,53005,53033,35374,Benton,Donald J. Trump / Michael R. Pence,R,60301,41.4098,58.5902
4,53007,53033,73098,Chelan,Donald J. Trump / Michael R. Pence,R,22476,47.3173,52.6827
5,53009,53033,45289,Clallam,Joseph R. Biden / Kamala D. Harris,D,24687,50.185,50.185
6,53011,53033,28547,Clark,Joseph R. Biden / Kamala D. Harris,D,140095,50.9573,50.9573
7,53013,53033,24367,Columbia,Donald J. Trump / Michael R. Pence,R,1754,29.6994,70.3006
8,53015,53033,23200,Cowlitz,Donald J. Trump / Michael R. Pence,R,34408,42.897,57.103
9,53017,53033,45057,Douglas,Donald J. Trump / Michael R. Pence,R,12908,39.2136,60.7864
10,53019,53033,34782,Ferry,Donald J. Trump / Michael R. Pence,R,2735,36.5429,63.4571
11,53021,53033,29288,Franklin,Donald J. Trump / Michael R. Pence,R,17849,44.2376,55.7624
12,53023,53033,22312,Garfield,Donald J. Trump / Michael R. Pence,R,1062,28.1461,71.8539
13,53025,53033,36415,Grant,Donald J. Trump / Michael R. Pence,R,24703,34.2025,65.7975
14,53027,53033,45409,Grays Harbor,Donald J. Trump / Michael R. Pence,R,19590,48.3726,51.6274
15,53029,53033,78116,Island,Joseph R. Biden / Kamala D. Harris,D,29171,54.191,54.191
16,53031,53033,73048,Jefferson,Joseph R. Biden / Kamala D. Harris,D,17190,69.4069,69.4069
17,53035,53033,91136,Kitsap,Joseph R. Biden / Kamala D. Harris,D,90224,56.8946,56.8946
18,53037,53033,145469,Kittitas,Donald J. Trump / Michael R. Pence,R,14042,46.226,53.774
19,53039,53033,21786,Klickitat,Donald J. Trump / Michael R. Pence,R,7223,46.6228,53.3772
20,53041,53033,40069,Lewis,Donald J. Trump / Michael R. Pence,R,29318,35.0941,64.9059
21,53043,53033,35542,Lincoln,Donald J. Trump / Michael R. Pence,R,5134,26.8035,73.1965
22,53045,53033,57180,Mason,Donald J. Trump / Michael R. Pence,R,18676,49.8671,50.1329
23,53047,53033,42821,Okanogan,Donald J. Trump / Michael R. Pence,R,11830,44.3556,55.6444
24,53049,53033,34477,Pacific,Donald J. Trump / Michael R. Pence,R,6930,50.5706,49.4294
25,53051,53033,23534,Pend Oreille,Donald J. Trump / Michael R. Pence,R,5655,33.1718,66.8282
26,53053,53033,149752,Pierce,Joseph R. Biden / Kamala D. Harris,D,249447,53.7629,53.7629
27,53055,53033,97292,San Juan,Joseph R. Biden / Kamala D. Harris,D,9606,73.9151,73.9151
28,53057,53033,61157,Skagit,Joseph R. Biden / Kamala D. Harris,D,38033,52.0857,52.0857
29,53059,53033,24822,Skamania,Donald J. Trump / Michael R. Pence,R,3783,46.7932,53.2068
30,53061,53033,163043,Snohomish,Joseph R. Biden / Kamala D. Harris,D,256600,58.5109,58.5109
31,53063,53033,43638,Spokane,Donald J. Trump / Michael R. Pence,R,148244,49.7159,50.2841
32,53065,53033,27263,Stevens,Donald J. Trump / Michael R. Pence,R,19592,30.2279,69.7721
33,53067,53033,64905,Thurston,Joseph R. Biden / Kamala D. Harris,D,96530,57.4672,57.4672
34,53069,53033,26963,Wahkiakum,Donald J. Trump / Michael R. Pence,R,1711,41.6638,58.3362
35,53071,53033,41053,Walla Walla,Donald J. Trump / Michael R. Pence,R,16344,47.533,52.467
36,53073,53033,82700,Whatcom,Joseph R. Biden / Kamala D. Harris,D,83557,60.364,60.364
37,53075,53033,114558,Whitman,Joseph R. Biden / Kamala D. Harris,D,11143,52.9082,52.9082
38,53077,53033,40940,Yakima,Donald J. Trump / Michael R. Pence,R,50531,47.4457,52.5543
